epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3065,1.61602,2.31017,1.33557,0.54407,0.57593,0.54873,0.29249,1.54771,1.78952,1.40779,0.000331418,0.000331418,0.000331418
2,77.6189,1.54339,1.61139,1.31816,0.57829,0.6263,0.60912,0.33885,1.48207,1.62104,1.34804,0.000598941,0.000598941,0.000598941
3,112.816,1.53868,1.49459,1.32521,0.63238,0.63044,0.65308,0.37218,1.41918,1.56115,1.37382,0.000800464,0.000800464,0.000800464
4,146.353,1.49233,1.37292,1.29741,0.6251,0.66373,0.65828,0.37301,1.43541,1.38507,1.3411,0.000703,0.000703,0.000703
5,181.259,1.45325,1.28473,1.27201,0.69858,0.65368,0.69806,0.41172,1.35445,1.2794,1.28458,0.000604,0.000604,0.000604
6,214.603,1.41225,1.20592,1.24374,0.67742,0.6828,0.71409,0.42491,1.33605,1.22355,1.30045,0.000505,0.000505,0.000505
7,249.419,1.38713,1.12603,1.22761,0.72982,0.69097,0.73508,0.4354,1.35711,1.15645,1.2985,0.000406,0.000406,0.000406
8,284.464,1.34099,1.07241,1.1998,0.75332,0.69917,0.75576,0.46739,1.26337,1.07319,1.22033,0.000307,0.000307,0.000307
9,318.321,1.29768,1.01276,1.17799,0.76936,0.72592,0.78168,0.49664,1.20178,0.95699,1.18386,0.000208,0.000208,0.000208
10,352.793,1.27959,0.97339,1.16525,0.78586,0.7487,0.79694,0.5114,1.17225,0.91288,1.17391,0.000109,0.000109,0.000109
